0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	70
0	0	0	0	0	0	0	0	0	70	84
0	0	0	0	0	0	0	0	70	84	76
0	0	0	0	0	0	0	70	84	76	74
0	0	0	0	0	0	70	84	76	74	79
70	70	70	70	70	0	14.25	8.75	9.66	14.74	19.2
84	84	84	84	14.25	0	9.03	12.14	11.13	14.69	18.12
76	76	76	8.75	9.03	0	3.29	6.18	10.81	16.85	18.52
74	74	9.66	12.14	3.29	0	5.67	9.73	16.28	17	21.92
79	14.74	11.13	6.18	5.67	0	4.64	10.78	12.42	17.09	79
19.2	14.69	10.81	9.73	4.64	0	6.68	7.8	12.46	81	81
18.12	16.85	16.28	10.78	6.68	0	5.39	7.7	87	87	87
18.52	17	12.42	7.8	5.39	0	5	84	84	84	17.69
21.92	17.09	12.46	7.7	5	0	88	88	88	15.37	18.74
79	81	87	84	88	0	0	0	85	82	81
81	87	84	88	0	0	0	85	82	81	78
87	84	88	0	0	0	85	82	81	78	79
17.69	15.37	85	85	85	0	4.18	8.27	12.16	15.49	18.71
18.74	82	82	82	4.18	0	4.38	8.04	11.62	14.73	19.09
81	81	81	8.27	4.38	0	4.09	7.26	10.44	14.85	63.06
78	78	12.16	8.04	4.09	0	4.23	6.83	11.08	64.62	73.95
79	15.49	11.62	7.26	4.23	0	3.38	7.82	62.34	71.62	72.04
18.71	14.73	10.44	6.83	3.38	0	4.45	63.65	72.87	73.18	73.18
19.09	14.85	11.08	7.82	4.45	0	65.1	74.21	74.37	74.37	74.57
63.06	64.62	62.34	63.65	65.1	0	9.35	10.32	10.32	11.75	11.75
73.95	71.62	72.87	74.21	9.35	0	2.6	2.6	5.2	5.2	7.8
72.04	73.18	74.37	10.32	2.6	0	0	2.6	2.6	5.2	5.28
73.18	74.37	10.32	2.6	0	0	2.6	2.6	5.2	5.28	7.84
74.57	11.75	5.2	2.6	2.6	0	0	2.6	2.78	5.28	11.35
11.75	5.2	2.6	2.6	0	0	2.6	2.78	5.28	11.35	20.73
7.8	5.2	5.2	2.6	2.6	0	1	2.78	10.35	19.79	39.97
5.28	5.28	2.78	2.78	1	0	2.58	11.32	20.74	40.94	44.88
7.84	5.28	5.28	2.78	2.58	0	11	20.19	40.42	44.39	99.4
11.35	11.35	10.35	11.32	11	0	9.44	29.62	33.56	88.69	67.05
20.73	19.79	20.74	20.19	9.44	0	20.24	24.2	79.28	57.66	49.5
39.97	40.94	40.42	29.62	20.24	0	4	59.08	38.39	32.75	28.71
44.88	44.39	33.56	24.2	4	0	55.19	34.99	30.42	27.86	28.15
99.4	88.69	79.28	59.08	55.19	0	25.35	39.34	51.72	50.81	52.4
67.05	57.66	38.39	34.99	25.35	0	14.17	26.39	25.5	27.28	32.4
49.5	32.75	30.42	39.34	14.17	0	12.52	11.56	13.11	18.4	20.85
28.71	27.86	51.72	26.39	12.52	0	1	3.61	6.05	9.07	14.62
28.15	50.81	25.5	11.56	1	0	3.47	6.91	9.77	15.52	96.52
52.4	27.28	13.11	3.61	3.47	0	6	7.79	14.39	96.29	105.24
32.4	18.4	6.05	6.91	6	0	3.51	8.65	90.3	99.25	100.44
20.85	9.07	9.77	7.79	3.51	0	7	89.14	98.11	99.25	100.24
14.62	15.52	14.39	8.65	7	0	82.14	91.12	92.26	93.25	95.43
96.52	96.29	90.3	89.14	82.14	0	9	10.14	11.13	13.43	10.57
105.24	99.25	98.11	91.12	9	0	1.91	2.58	5.13	3.41	5.26
100.44	99.25	92.26	10.14	1.91	0	1	3.4	1.62	3.38	5.31
100.24	93.25	11.13	2.58	1	0	2.55	1.9	3.21	5.74	6.34
95.43	13.43	5.13	3.4	2.55	0	3	2.55	5.95	6.82	71.28
10.57	3.41	1.62	1.9	3	0	1.9	3.84	4.46	68.3	75.28
5.26	3.38	3.21	2.55	1.9	0	3.42	4.32	69.13	76.12	74.28
5.31	5.74	5.95	3.84	3.42	0	1	66.04	73.03	71.14	70.14
6.34	6.82	4.46	4.32	1	0	65.04	72.03	70.14	69.14	67.32
71.28	68.3	69.13	66.04	65.04	0	7	5.76	4.91	6	5.73
75.28	76.12	73.03	72.03	7	0	3.53	4.18	7.64	8.32	11.1
74.28	71.14	70.14	5.76	3.53	0	1	4.15	4.92	7.59	10.62
70.14	69.14	4.91	4.18	1	0	3.49	4.14	6.95	9.78	12.31
67.32	6	7.64	4.15	3.49	0	1	3.46	6.62	8.94	10.56
5.73	8.32	4.92	4.14	1	0	2.99	5.72	8.17	9.72	12.94
11.1	7.59	6.95	3.46	2.99	0	4	5.71	7.52	10.53	10.53
10.62	9.78	6.62	5.72	4	0	2.91	4.05	7.35	7.35	9.05
12.31	8.94	8.17	5.71	2.91	0	2	4.82	4.82	6.17	5.52
10.56	9.72	7.52	4.05	2	0	3.34	3.34	5.45	5.48	8.1
12.94	10.53	7.35	4.82	3.34	0	0	2.84	4.02	5.42	5.42
10.53	7.35	4.82	3.34	0	0	2.84	4.02	5.42	5.42	7.96
9.05	6.17	5.45	2.84	2.84	0	2	2.67	2.67	5.42	6.08
5.52	5.48	4.02	4.02	2	0	3.35	3.35	6.14	7.3	8.95
8.1	5.42	5.42	2.67	3.35	0	0	2.84	4	5.67	6.62
5.42	5.42	2.67	3.35	0	0	2.84	4	5.67	6.62	9.33
7.96	5.42	6.14	2.84	2.84	0	2	2.83	3.99	6.59	7.94
6.08	7.3	4	4	2	0	2.81	2.79	5.57	6.53	9.2
8.95	5.67	5.67	2.83	2.81	0	2	3.98	5.63	7.92	7.92
6.62	6.62	3.99	2.79	2	0	2.78	3.95	6.51	6.51	11.75
9.33	6.59	5.57	3.98	2.78	0	2	3.94	3.94	9.45	21.54
7.94	6.53	5.63	3.95	2	0	2.73	2.73	7.8	19.59	21.22
9.2	7.92	6.51	3.94	2.73	0	0	5.58	18.16	19.58	19.58
7.92	6.51	3.94	2.73	0	0	5.58	18.16	19.58	19.58	22.14
11.75	9.45	7.8	5.58	5.58	0	13	14.19	14.19	16.65	18.57
21.54	19.59	18.16	18.16	13	0	2.42	2.42	5.31	6.62	4.56
21.22	19.58	19.58	14.19	2.42	0	0	2.96	4.55	2.99	6
19.58	19.58	14.19	2.42	0	0	2.96	4.55	2.99	6	9.2
22.14	16.65	5.31	2.96	2.96	0	2	4	6.4	10.25	13.77
18.57	6.62	4.55	4.55	2	0	6	8.3	12.21	15.66	14.7
4.56	2.99	2.99	4	6	0	3.01	6.42	10.12	9.23	9.82
6	6	6.4	8.3	3.01	0	4	7.38	6.43	6.81	6.1
9.2	10.25	12.21	6.42	4	0	3.82	3.09	4.8	4.68	7.02
13.77	15.66	10.12	7.38	3.82	0	1	3.1	3.82	5.6	6.18
14.7	9.23	6.43	3.09	1	0	2.57	3.09	5.12	5.57	7.65
9.82	6.81	4.8	3.1	2.57	0	1	2.55	3.08	5.09	5.54
6.1	4.68	3.82	3.09	1	0	2.34	2.54	4.77	5.05	5.05
7.02	5.6	5.12	2.55	2.34	0	1	2.54	3.06	3.06	5.51
6.18	5.57	3.08	2.54	1	0	2.32	2.52	2.52	5.02	6.07
7.65	5.09	4.77	2.54	2.32	0	1	1	3.05	4.61	7.52
5.54	5.05	3.06	2.52	1	0	0	2.5	3.77	6.74	7.5
5.05	3.06	2.52	1	0	0	2.5	3.77	6.74	7.5	8.42
5.51	5.02	3.05	2.5	2.5	0	2	4.59	5.48	6.02	6.02
6.07	4.61	3.77	3.77	2	0	3	3.74	4.89	4.89	7.76
7.52	6.74	6.74	4.59	3	0	1	2.22	2.22	4.83	4.43
7.5	7.5	5.48	3.74	1	0	2.42	2.42	4.49	4.53	4.86
8.42	6.02	4.89	2.22	2.42	0	0	2.97	2.22	2.44	4.43
6.02	4.89	2.22	2.42	0	0	2.97	2.22	2.44	4.43	4.43
7.76	4.83	4.49	2.97	2.97	0	2	3	2.97	2.97	4.83
4.43	4.53	2.22	2.22	2	0	1	2.22	2.22	4.43	4.43
4.86	2.44	2.44	3	1	0	2.44	2.44	4.56	4.56	6.94
4.43	4.43	2.97	2.22	2.44	0	0	2.22	2.22	4.53	4.83
4.43	2.97	2.22	2.44	0	0	2.22	2.22	4.53	4.83	4.53
4.83	4.43	4.56	2.22	2.22	0	0	2.42	2.97	2.42	4.83
4.43	4.56	2.22	2.22	0	0	2.42	2.97	2.42	4.83	5.92
6.94	4.53	4.53	2.42	2.42	0	1	0	2.41	3.7	5.28
4.83	4.83	2.97	2.97	1	0	1	2.18	2.95	4.77	4.46
4.53	2.42	2.42	0	1	0	2.41	3.7	5.28	4.8	6.84
4.83	4.83	2.41	2.18	2.41	0	2	2.95	2.39	4.46	4.46
5.92	3.7	2.95	3.7	2	0	2.15	2.38	4.43	4.43	6.44
5.28	4.77	5.28	2.95	2.15	0	1	2.38	2.38	4.29	4.39
4.46	4.8	2.39	2.38	1	0	2.16	2.16	4.43	4.74	4.43
6.84	4.46	4.43	2.38	2.16	0	0	2.38	2.93	2.38	4.74
4.46	4.43	2.38	2.16	0	0	2.38	2.93	2.38	4.74	4.74
6.44	4.29	4.43	2.38	2.38	0	1	0	2.36	2.36	4.7
4.39	4.74	2.93	2.93	1	0	1	2.13	2.13	4.36	4.36
4.43	2.38	2.38	0	1	0	2.36	2.36	4.7	4.7	6.49
4.74	4.74	2.36	2.13	2.36	0	0	2.34	2.34	4.26	4.36
4.74	2.36	2.13	2.36	0	0	2.34	2.34	4.26	4.36	4.36
4.7	4.36	4.7	2.34	2.34	0	0	2.34	2.11	2.11	4.36
4.36	4.7	2.34	2.34	0	0	2.34	2.11	2.11	4.36	4.22
6.49	4.26	4.26	2.34	2.34	0	1	1	2.13	2.34	4.36
4.36	4.36	2.11	2.11	1	0	0	2.34	2.11	4.22	4.32
4.36	2.11	2.11	1	0	0	2.34	2.11	4.22	4.32	6.59
4.36	4.36	2.13	2.34	2.34	0	1	2.34	2.91	5.17	4.67
4.22	2.34	2.11	2.11	1	0	2.11	2.33	4.64	4.32	4.32
4.36	4.22	4.22	2.34	2.11	0	1	2.9	2.33	2.33	4.22
4.32	4.32	2.91	2.33	1	0	2.31	2.09	2.09	4.32	5.11
6.59	5.17	4.64	2.9	2.31	0	1	1	2.9	2.87	5.08
4.67	4.32	2.33	2.09	1	0	0	2.33	3.64	5.74	5.74
4.32	2.33	2.09	1	0	0	2.33	3.64	5.74	5.74	7.93
4.22	4.32	2.9	2.33	2.33	0	4	5.41	5.41	7.28	7.28
5.11	2.87	3.64	3.64	4	0	2.27	2.27	4.52	4.52	6.75
5.08	5.74	5.74	5.41	2.27	0	0	2.25	2.25	4.48	4.05
5.74	5.74	5.41	2.27	0	0	2.25	2.25	4.48	4.05	4.19
7.93	7.28	4.52	2.25	2.25	0	0	2.23	2.25	2.85	5.05
7.28	4.52	2.25	2.25	0	0	2.23	2.25	2.85	5.05	5.05
6.75	4.48	4.48	2.23	2.23	0	2	3	4.48	4.48	5.02
4.05	4.05	2.25	2.25	2	0	1	2.86	2.86	4.19	4.19
4.19	2.85	2.85	3	1	0	2.28	2.28	4.08	4.08	6.13
5.05	5.05	4.48	2.86	2.28	0	0	2.28	2.28	4.22	5.05
5.05	4.48	2.86	2.28	0	0	2.28	2.28	4.22	5.05	6.44
5.02	4.19	4.08	2.28	2.28	0	0	2.04	2.85	4.19	4.08
4.19	4.08	2.28	2.28	0	0	2.04	2.85	4.19	4.08	6.18
6.13	4.22	4.22	2.04	2.04	0	2	2.27	2.04	4.19	4.08
5.05	5.05	2.85	2.85	2	0	2.25	2.85	4.15	4.52	6.39
6.44	4.19	4.19	2.27	2.25	0	1	2.02	2.27	4.19	4.19
4.08	4.08	2.04	2.85	1	0	2.27	2.04	4.08	4.08	6.18
6.18	4.19	4.15	2.02	2.27	0	1	2.27	2.27	4.05	4.19
4.08	4.52	2.27	2.04	1	0	2.04	2.04	4.19	4.08	6.13
6.39	4.19	4.08	2.27	2.04	0	0	2.27	2.04	4.08	4.22
4.19	4.08	2.27	2.04	0	0	2.27	2.04	4.08	4.22	6.18
6.18	4.05	4.19	2.27	2.27	0	1	2.27	2.86	4.05	4.19
4.19	4.08	2.04	2.04	1	0	2.04	2.28	4.19	4.08	6.18
6.13	4.08	4.08	2.27	2.04	0	1	2.27	2.04	4.19	4.08
4.22	4.22	2.86	2.28	1	0	2.86	2.28	4.55	4.22	4.22
6.18	4.05	4.19	2.27	2.86	0	1	2.02	2.27	2.27	4.05
4.19	4.08	2.04	2.28	1	0	2.27	2.04	2.04	4.19	4.19
6.18	4.19	4.55	2.02	2.27	0	1	1	2.02	2.02	4.55
4.08	4.22	2.27	2.04	1	0	0	2.27	2.27	4.22	4.22
4.22	2.27	2.04	1	0	0	2.27	2.27	4.22	4.22	6.13
4.05	4.19	2.02	2.27	2.27	0	0	2.86	2.86	4.19	4.19
4.19	2.02	2.27	2.27	0	0	2.86	2.86	4.19	4.19	8.65
4.55	4.22	4.22	2.86	2.86	0	0	2.28	2.28	5.79	4.12
4.22	4.22	2.86	2.86	0	0	2.28	2.28	5.79	4.12	8.5
6.13	4.19	4.19	2.28	2.28	0	0	5.42	2.28	6.4	12.61
4.19	4.19	2.28	2.28	0	0	5.42	2.28	6.4	12.61	16.05
8.65	5.79	5.79	5.42	5.42	0	4	10.21	17.11	20.38	24.3
4.12	4.12	2.28	2.28	4	0	6.33	13.14	16.45	20.35	23.66
8.5	6.4	6.4	10.21	6.33	0	7	10.17	14.12	17.38	15.96
12.61	12.61	17.11	13.14	7	0	3.5	7.22	10.59	9.59	11.28
16.05	20.38	16.45	10.17	3.5	0	4	7.21	6.09	7.8	9.15
24.3	20.35	14.12	7.22	4	0	3.44	3.55	4.51	7.06	20.18
23.66	17.38	10.59	7.21	3.44	0	2.61	1.66	5.1	16.74	26.01
15.96	9.59	6.09	3.55	2.61	0	2	3.51	17.77	27.41	36.26
11.28	7.8	4.51	1.66	2	0	3.48	15.96	25.49	34.3	32.85
